"","variable_id","item_text","n","min","max","mean"
"1","activityId","",10299,1,6,3.62462374987863
"2","subjectId","",10299,1,30,16.1464219827168
"3","tBodyAcc-mean()-X","",10299,-1,1,0.274347260646063
"4","tBodyAcc-mean()-Y","",10299,-1,1,-0.0177434918458972
"5","tBodyAcc-mean()-Z","",10299,-1,1,-0.108925032737064
"6","tBodyAcc-std()-X","",10299,-1,1,-0.607783818968688
"7","tBodyAcc-std()-Y","",10299,-1,1,-0.510191378479501
"8","tBodyAcc-std()-Z","",10299,-1,1,-0.61306429934125
"9","tGravityAcc-mean()-X","",10299,-1,1,0.669226222373046
"10","tGravityAcc-mean()-Y","",10299,-1,1,0.00403879092060518
"11","tGravityAcc-mean()-Z","",10299,-1,1,0.0921508600211059
"12","tGravityAcc-std()-X","",10299,-1,1,-0.965207115039421
"13","tGravityAcc-std()-Y","",10299,-1,1,-0.95440802665318
"14","tGravityAcc-std()-Z","",10299,-1,1,-0.938900969424022
"15","tBodyAccJerk-mean()-X","",10299,-1,1,0.0789381220355816
"16","tBodyAccJerk-mean()-Y","",10299,-1,1,0.0079481069090025
"17","tBodyAccJerk-mean()-Z","",10299,-1,1,-0.00467469823628666
"18","tBodyAccJerk-std()-X","",10299,-1,1,-0.63978102073413
"19","tBodyAccJerk-std()-Y","",10299,-1,1,-0.607971599340832
"20","tBodyAccJerk-std()-Z","",10299,-1,1,-0.762820240449202
"21","tBodyGyro-mean()-X","",10299,-1,1,-0.0309824871713436
"22","tBodyGyro-mean()-Y","",10299,-1,1,-0.0747194855994359
"23","tBodyGyro-mean()-Z","",10299,-1,1,0.088357304227173
"24","tBodyGyro-std()-X","",10299,-1,1,-0.721192598029789
"25","tBodyGyro-std()-Y","",10299,-1,1,-0.682653506899942
"26","tBodyGyro-std()-Z","",10299,-1,1,-0.653665674372188
"27","tBodyGyroJerk-mean()-X","",10299,-1,1,-0.0967092754729682
"28","tBodyGyroJerk-mean()-Y","",10299,-1,1,-0.0423181079782632
"29","tBodyGyroJerk-mean()-Z","",10299,-1,1,-0.0548303497968374
"30","tBodyGyroJerk-std()-X","",10299,-1,1,-0.731348533131935
"31","tBodyGyroJerk-std()-Y","",10299,-1,1,-0.786062320321895
"32","tBodyGyroJerk-std()-Z","",10299,-1,1,-0.739932395222129
"33","tBodyAccMag-mean()","",10299,-1,1,-0.54822165976717
"34","tBodyAccMag-std()","",10299,-1,1,-0.591225327146546
"35","tGravityAccMag-mean()","",10299,-1,1,-0.54822165976717
"36","tGravityAccMag-std()","",10299,-1,1,-0.591225327146546
"37","tBodyAccJerkMag-mean()","",10299,-1,1,-0.649417950650692
"38","tBodyAccJerkMag-std()","",10299,-1,1,-0.627762945785391
"39","tBodyGyroMag-mean()","",10299,-1,1,-0.60524856977632
"40","tBodyGyroMag-std()","",10299,-1,1,-0.662533062898382
"41","tBodyGyroJerkMag-mean()","",10299,-1,1,-0.762137610987416
"42","tBodyGyroJerkMag-std()","",10299,-1,1,-0.77799317279698
"43","fBodyAcc-mean()-X","",10299,-1,1,-0.622761658493734
"44","fBodyAcc-mean()-Y","",10299,-1,1,-0.53749328145871
"45","fBodyAcc-mean()-Z","",10299,-1,1,-0.665033506271952
"46","fBodyAcc-std()-X","",10299,-1,1,-0.603356276555826
"47","fBodyAcc-std()-Y","",10299,-1,1,-0.528420009576204
"48","fBodyAcc-std()-Z","",10299,-1,1,-0.617874813333395
"49","fBodyAcc-meanFreq()-X","",10299,-1,1,-0.2214691368263
"50","fBodyAcc-meanFreq()-Y","",10299,-1,1,0.015400588735675
"51","fBodyAcc-meanFreq()-Z","",10299,-1,1,0.0473098698476722
"52","fBodyAccJerk-mean()-X","",10299,-1,1,-0.656713524546605
"53","fBodyAccJerk-mean()-Y","",10299,-1,1,-0.628961179980356
"54","fBodyAccJerk-mean()-Z","",10299,-1,1,-0.743608246170053
"55","fBodyAccJerk-std()-X","",10299,-1,1,-0.654979816705833
"56","fBodyAccJerk-std()-Y","",10299,-1,1,-0.612243590244114
"57","fBodyAccJerk-std()-Z","",10299,-1,1,-0.780928428167213
"58","fBodyAccJerk-meanFreq()-X","",10299,-1,1,-0.0477062917542324
"59","fBodyAccJerk-meanFreq()-Y","",10299,-1,1,-0.213392904926883
"60","fBodyAccJerk-meanFreq()-Z","",10299,-1,1,-0.123828014584147
"61","fBodyGyro-mean()-X","",10299,-1,1,-0.672094306818974
"62","fBodyGyro-mean()-Y","",10299,-1,1,-0.70621663959074
"63","fBodyGyro-mean()-Z","",10299,-1,1,-0.644192752866115
"64","fBodyGyro-std()-X","",10299,-1,1,-0.738594816501343
"65","fBodyGyro-std()-Y","",10299,-1,1,-0.674226934551517
"66","fBodyGyro-std()-Z","",10299,-1,1,-0.690446312501126
"67","fBodyGyro-meanFreq()-X","",10299,-1,1,-0.101042702224631
"68","fBodyGyro-meanFreq()-Y","",10299,-1,1,-0.174277577553958
"69","fBodyGyro-meanFreq()-Z","",10299,-1,1,-0.0513928953203266
"70","fBodyAccMag-mean()","",10299,-1,1,-0.585962696268539
"71","fBodyAccMag-std()","",10299,-1,1,-0.659531216655476
"72","fBodyAccMag-meanFreq()","",10299,-1,1,0.0768760112631957
"73","fBodyBodyAccJerkMag-mean()","",10299,-1,1,-0.620789916331592
"74","fBodyBodyAccJerkMag-std()","",10299,-1,1,-0.640076803144351
"75","fBodyBodyAccJerkMag-meanFreq()","",10299,-1,1,0.173219742700723
"76","fBodyBodyGyroMag-mean()","",10299,-1,1,-0.697411069729937
"77","fBodyBodyGyroMag-std()","",10299,-1,1,-0.699976372277643
"78","fBodyBodyGyroMag-meanFreq()","",10299,-1,1,-0.0415636227771787
"79","fBodyBodyGyroJerkMag-mean()","",10299,-1,1,-0.779767633083527
"80","fBodyBodyGyroJerkMag-std()","",10299,-1,1,-0.792190209274884
"81","fBodyBodyGyroJerkMag-meanFreq()","",10299,-1,1,0.126707820497791
"82","activityType","",10299,1,6,3.33993591610836
